Knock-out Genes,Method Names,Fraggle Scores,The Most Similar Inhibitors,Result Mols
AKT1,Cosine Search,0.41,N=1C(NC2=CC=CC3=C2C(NC3)=O)=C4C=CNC4=NC1NC5=C(C=C6C(N(CC6)C(CN(C)C)=O)=C5)OC,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)OCCCC[C@@H](C)Oc4ccc(cc4C1=O)N(C)C
AKT1,Cosine Search,0.47,C(N1CCC[C@@]2(CCN(C=3N=CN=C(C3C4CC4)N)C2)C1)[C@H](O)CNS(C5=CN=CC=C5C)(=O)=O,Cc1ccc(cc1)S(=O)(=O)NCC[C@H]1CC[C@H](NC(=O)CC2CC2)[C@H](CO)O1
AKT1,Cosine Search,0.53,C1(CC=2C(C1)=CC=CC2)[C@H](C(N3CCN(C4=NC=NC5=C4C(=CN5)C)CC3)=O)N,Nc1cccc2C(=O)N(Cc12)C1CCC(=O)NC1=O
AKT1,Cosine Search,0.49,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)O,CC1=CC[C@@H]2[C@@H](C1)c3c(O)cc(CC#CCCCNS(=O)(=O)C)cc3OC2(C)C
AKT1,Cosine Search,0.43,C=1(C=NNC1)C2=CC=C(NC(C3COC4=C(O3)C=CC=C4)=O)C(=C2)OCCN(C)C,CN1CCN(CC1)C(=O)C[C@@H]1CC[C@H]2[C@@H](COc3ccc(NC(=O)c4cscn4)cc3C(=O)N2C)O1
AKT1,Cosine Search,0.22,C1=C(C2=C(C=C1O)OC(C(C2=O)=O)C3=CC=C(C(=C3)O)O)O,Cc1cc(O)cc2oc3cc(O)cc(O)c3c(=O)c12
AKT1,Cosine Search,0.36,N=1C(NC2=CC=CC3=C2C(NC3)=O)=C4C=CNC4=NC1NC5=C(C=C6C(N(CC6)C(CN(C)C)=O)=C5)OC,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2c(C)noc2C)OCc3ccccc3-c4ccccc4C1=O
AKT1,Cosine Search,0.59,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](CC(C)=CC(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O
AKT1,Cosine Search,0.44,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,CC[C@@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C2CC[C@@]1(O)C#C
AKT1,Cosine Search,0.45,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2cn(C)cn2)OCc3ccccc3-c4c(C1=O)n(C)c5ccccc45
AKT1,Cosine Search,0.44,C12(CN(C[C@@H](CN(C3CCCCC3)S(C=4C(=NOC4C)C)(=O)=O)O)CCC1)OC=5C=CC(=CC5C(C2)=O)O,Cc1cccc(c1)S(=O)(=O)N1C[C@@H](O)COC[C@@H]2O[C@H](CC(=O)Nc3ccc(cc3)-c3ccccc3)CC[C@@H]12
AKT1,Cosine Search,0.3,P(O)(OC1CC[N+](CC1)(C)C)(=O)OCCCCCCCCCCCCCCCCCC,CC(C)[N+]1(C)[C@@H]2CC[C@@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3
AKT1,Cosine Search,0.39,C=1C=CC=C(C(NCCCC(NC2OC(C(C(C2O)O)O)CO)=O)=O)C1,OC[C@@H]1O[C@@H](CC(=O)N2CCOCC2)C=C[C@@H]1NC(=O)NC1CCCCC1
AKT1,Cosine Search,0.26,N1=CN=C(C=2SC=CC21)NCCC=3SC(=NC3)NC(NC4=CC(=CC=C4)Cl)=O,Clc1ccc(/C=C/C(=O)NC2=NCCS2)cc1Cl
AKT1,Cosine Search,0.37,C1=CC(=CC(=C1OC)/C=C/C(C(C(/C=C/C2=CC(=CC=C2OC)OC)=O)=CC=3C=C(C(=C(C3)OC)O)Br)=O)OC,CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl
AKT1,Cosine Search,0.28,BrC=1C(O)=C(C=2C=C(C/C(=N/O)/C(=O)NCCC3=CC(Br)=C(O)C=C3)C=C(Br)C2O)C=C(C/C(=N/O)/C(=O)NCCC4=CC(Br)=C(O)C=C4)C1,C[C@H](NC[C@H](O)CP(O)(=O)Cc1ccccc1)c1ccc(Cl)c(Cl)c1
AKT1,Cosine Search,0.65,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AKT1,Cosine Search,0.31,C=1(C=C(C=2C(C=C(OC2C1C3C(CN(CC3)C)O)C=4C=CC=CC4Cl)=O)O)O,CN1CCc2cc3OCOc3cc2C(=O)Cc4ccc5OCOc5c4C1
AKT1,Cosine Search,0,C=1(C(NS(C=2C=CC(F)=CC2)(=O)=O)=CC(=CN1)C=3C=CC=4N(C3)C=C(N4)NC(C)=O)Cl,CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O
AKT1,Cosine Search,0,[C@@H]1(OC(=O)C=2C=3[C@]1(C=4C(C(C3OC2)=O)[C@H]5[C@@](CC4OC(=O)C)(C)C(CC5)=O)C)COC,CCOC(=O)[C@@]1(CCCCCCOc2ccc(Cl)cc2)CO1
AKT1,Cosine Search,0.41,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CN(C)C(=O)[C@@H]1[C@@H](CO)[C@@H]2Cn3c(ccc(-c4ccccc4)c3=O)[C@@H]2N1CCC(F)(F)F
AKT1,Cosine Search,0.76,N=1NC=C(C1C2=CC=CC=C2)C=3C=CN=CC3,c1[nH]nc(c1-c1ccnc2ccccc12)-c1ccccn1
AKT1,Cosine Search,0.37,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)C)OCc2ccccc2-c3ccccc3C1=O
AKT1,Cosine Search,0.48,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,COc1ccccc1C(=O)Nc1ccc2OC[C@H]3O[C@@H](CC(=O)NCCc4ccncc4)CC[C@H]3N(C)C(=O)c2c1
AKT1,Cosine Search,0.44,C=1C=CC2=C(C1)/C(/C(N2)=O)=C/C=3C=NNC3C4=C(C=CC=C4)N(=O)=O,CC1=NN(C(=O)C1=Cc1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O
AKT1,Cosine Search,0.39,ClC1=CC=C([C@@H](CNC2CCC(OC)CC2)C(=O)N3CCN(CC3)C=4N=CN=C5C4[C@@H](C[C@H]5O)C)C=C1,CO[C@H](CN(C)C(=O)Nc1ccc(F)cc1)[C@@H](C)CN(Cc1ccccc1Cl)[C@@H](C)CO
AKT1,Cosine Search,0.47,C(N1CCC[C@@]2(CCN(C=3N=CN=C(C3C4CC4)N)C2)C1)[C@H](O)CNS(C5=CN=CC=C5C)(=O)=O,Cc1ccc(cc1)S(=O)(=O)NCC[C@H]1CC[C@H](NC(=O)CC2CC2)[C@H](CO)O1
AKT1,Cosine Search,0.65,OC=1C(=CC=C(N2CCOCC2)C1)C(=O)C,Fc1ccccc1C(=O)C(CN1CCOCC1)c1ccccc1
AKT1,Cosine Search,0.44,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CN1[C@@H]2CC[C@H](CC(=O)NCCN3CCCCC3)O[C@@H]2COc2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2C1=O
AKT1,Cosine Search,1,C1(=CC2=C(C=C1)NC(=C2)C(=O)C=3NC4=C(C3)C=C(C=C4)O)O,Oc1ccc2[nH]c(cc2c1)C(=O)c3cc4ccccc4[nH]3
AKT1,Cosine Search,0.57,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,C[C@@H]([C@H]1CC[C@H]2[C@@H]3C[C@H]4O[C@]45[C@@H](O)C=CC(=O)[C@]5(C)[C@H]3CC[C@]12C)[C@H]6CC(=C(CO)C(=O)O6)C
AKT1,Cosine Search,0.78,N1=CN=C(C2=CC(=C(C=C12)OC)OC)NC=3C=CC(=CC3)OCC=4C=CC=CC4,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
AKT1,Cosine Search,0.42,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,CC(C)CN1CCN(CC1)C(=O)COC(=O)c1ccc(c(c1)[N+]([O-])=O)S(C)(=O)=O
AKT1,Cosine Search,0.47,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc4c(NC(=O)c5ccncc5)cccc4C1=O
AKT1,Cosine Search,0.41,N=1C(NC2=CC=CC3=C2C(NC3)=O)=C4C=CNC4=NC1NC5=C(C=C6C(N(CC6)C(CN(C)C)=O)=C5)OC,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)OCCCC[C@@H](C)Oc4ccc(cc4C1=O)N(C)C
AKT1,Cosine Search,0.48,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,C/C=C/c1cnc2O[C@@H](CN(C)S(=O)(=O)c3cn(C)cn3)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1
AKT1,Cosine Search,0.49,C=1C(=C(C=CN1)N2CCNCC2)NC(C3=CSC(=N3)N4C(=C5C(=C4)C=CC(=C5)OC)O)=O,CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)c3nc4ccccc4s3)cc2OC[C@@H](C)NC[C@H]1C
AKT1,Cosine Search,0.49,N1(CCC(CC1)C2=NC=3C(N2)=CC=CC3)CC4=CC=C(C=C4)C=5N=CC(=CC5C6=CC=CC=C6)C#N,C(Cn1c2ccccc2c3ccccc13)c4nc5ccccc5[nH]4
AKT1,Cosine Search,0.32,O1C(C2=NC=3C(N=C2C=4OC=CC4)=CC=C(NC(=O)N(C(C)C)C(C)C)C3)=CC=C1,CC(C)(C)NC(=O)[C@H](N(C(=O)c1ccco1)c1ccc(cc1)C(C)(C)C)c1cccnc1
AKT1,Cosine Search,0.51,N1=CN(C2=NC(=NC(=C12)NCC=3C=CC(=CC3)OC)N(CCO)CCO)C(C)C,COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1C[C@H](C)O[C@H](C)C1)N1CCOCC1
AKT1,Cosine Search,0.43,C1(=C(C2=CNC3=C2C=CC=C3)C(=O)NC1=O)C4=CNC5=C4C=CC=C5,O=C1NC(=O)C(S1)=Cc1ccc2nccc(-c3ccncc3)c2c1
AKT1,Cosine Search,0.51,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O
AKT1,Cosine Search,0.44,C12(CN(C[C@@H](CN(C3CCCCC3)S(C=4C(=NOC4C)C)(=O)=O)O)CCC1)OC=5C=CC(=CC5C(C2)=O)O,Cc1cccc(c1)S(=O)(=O)N1C[C@@H](O)COC[C@@H]2O[C@H](CC(=O)Nc3ccc(cc3)-c3ccccc3)CC[C@@H]12
AKT1,Cosine Search,0.78,N1=CN=C(C2=CC(=C(C=C12)OC)OC)NC=3C=CC(=CC3)OCC=4C=CC=CC4,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
AKT1,Cosine Search,0.36,N=1C(NC2=CC=CC3=C2C(NC3)=O)=C4C=CNC4=NC1NC5=C(C=C6C(N(CC6)C(CN(C)C)=O)=C5)OC,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2cnccn2)Oc3ncc(C#CCN(C)C)cc3C1=O
AKT1,Cosine Search,0.5,N1(C(=[N+](C=C1)CCCCCCCCCCCCCCCC)C)CC2=CC=CC=C2,CCCCc1ncc(C=C(/Cc2cccs2)C(O)=O)n1Cc1ccc(cc1)C(O)=O
AKT1,Cosine Search,0,C1CCOC=2N=C(NC(NC=3C=C(C(=CC3OCC1)OCCO)Cl)=O)C=NC2C#N,OC[C@H]1O[C@@H](CC(=O)NCc2ccccc2F)C[C@H]3[C@@H]1Oc4ccc(NC(=O)NC5CCCC5)cc34
AKT1,Cosine Search,0,O=C(NC1=C(OC)C=CC(OC)=C1)C2=C3N(N=C2)C(C4=CC=CC=C4)=CC=N3,Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C
AKT1,Cosine Search,0.44,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@@H]1OC(=O)C(=O)C1O
AKT1,Cosine Search,0.38,C=1C(OC)=C(C=CC1OC)/C=C/C(C(=CC2=CC=C(C(=C2)O)OC)C(/C=C/C=3C(=CC(OC)=CC3)OC)=O)=O,COc1cc(cc(OC)c1OC)C(=O)O
AKT1,Cosine Search,0.5,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC4=CC=C(C=C4CC2)F,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccccc2F)OCc3ccccc3-c4ccccc4C1=O
AKT1,Cosine Search,0.32,S1C=2N(C(=N)C(C(C2C(=O)N)C=3SC=CC3)C(OCC)=O)C(=O)C1=CC=4SC=CC4,CCOC(=O)CSC1=N/C(=C/c2ccc(cc2)n3cncn3)/C(=O)N1C(=O)C
AKT1,Cosine Search,0.5,C12(CN(C[C@@H](CN(CCOCC)S(C3=CC=CC=C3F)(=O)=O)O)CCC1)OC=4C=CC(=CC4C(C2)=O)O,C[C@@H](NC(=O)C[C@H]1CC[C@@H](NS(=O)(=O)c2cccc(F)c2)[C@@H](CO)O1)c1ccccc1
AKT1,Cosine Search,0.51,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O
AKT1,Cosine Search,0,ClC=1C(CCCO)=CC=2OCCCCCOC3=NC(NC(=O)NC2C1)=CN=C3C#N,Cc1noc(C)c1NC(=O)NCC[C@H]1CC[C@H](NC(=O)c2ccc(F)cc2)[C@H](CO)O1
AKT1,Cosine Search,0.27,C=1C(=C(C(C2=CC=CC=C2)=NC1NC(C)=O)C#N)N,Cc1ccc(cc1)C(=O)/N=c2/cccc[nH]2
AKT1,Cosine Search,0.45,C(N1CCC[C@@]2(CCN(C=3N=CN=C(C3C4CC4)N)C2)C1)[C@H](O)CNS(C5=C(ON=C5C)C)(=O)=O,Cc1ccccc1S(=O)(=O)NCC[C@H]1CC[C@@H](NS(=O)(=O)c2ccccc2C)[C@H](CO)O1
AKT1,Cosine Search,0.34,O=C(NC(C1=CC=CC=C1)CO)C2=CC=C(C=3C=CN=CC3)C=C2,OC[C@H]1N[C@H](C#N)[C@@H]1c1ccc(cc1)C#CC1CCCCC1
AKT1,Cosine Search,0,C=1(C(NS(C=2C=CC(F)=CC2)(=O)=O)=CC(=CN1)C=3C=CC=4N(C3)C=C(N4)NC(C)=O)Cl,CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O
AKT1,Cosine Search,0.42,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,CC(C)CN1CCN(CC1)C(=O)COC(=O)c1ccc(c(c1)[N+]([O-])=O)S(C)(=O)=O
AKT1,Cosine Search,0.49,N1(CCC(CC1)C2=NC=3C(N2)=CC=CC3)CC4=CC=C(C=C4)C=5N=CC(=CC5C6=CC=CC=C6)C#N,C(Cn1c2ccccc2c3ccccc13)c4nc5ccccc5[nH]4
AKT1,Cosine Search,0.69,N1(CCC(N)(CC2=CC=C(C=C2)C(C)(C)C)CC1)C3=NC=NC=4NC=CC34,CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1
AKT1,Cosine Search,0.58,C(N[C@H](C(=O)NCCN1C(C=CC1=O)=O)CC=2C=CC=CC2)(=O)OC(C)(C)C,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O
AKT1,Cosine Search,0.53,O=C1NC(=O)C=2N=CC=3C(C21)=CC(OC)=C(OC)C3,COc1ccc2c(OC)c3ccoc3nc2c1OC
AKT1,Cosine Search,0.39,O=C(NC1=CC=C(C=2C=C(C=CC2)C(=O)N)C=C1)NC3=CC(=CC=C3)C,CC(=O)Nc1ccc(CC(O)=O)cc1
AKT1,Cosine Search,0.38,C=1C(=C(C=CN1)N2CCNCC2)NC(C3=CSC(=N3)N4C(=C5C(=C4)C=CC(=C5)OC)O)=O,COC(=O)c1ccc(CSc2nc3CCCc3c(O)n2)cc1
AKT1,Cosine Search,0.43,ClC1=C(OCC)N=C(C(=O)NCC=2C(S(=O)(=O)N)=CC=CC2)C=C1N,Cc1ccc(cc1)S(=O)(=O)N[C@@H]1CC[C@H](CCNC(=O)c2ccccc2F)O[C@@H]1CO
AKT1,Cosine Search,0.57,O(C(=O)N1C=2C(C(C=3N(C4CCCCC4)C=NC3)=C1)=CC=CC2)C(C)(C)C,CN(C(=O)OC(C)(C)C)c1ccc(cc1)c2nc3ccccc3s2
AKT1,Cosine Search,0,ClC=1C(OC)=CC(OC)=C(NC2=NN3C(=NN=C3C=C2)C=4C=CC=CC4)C1,COc1ccc(cc1OCC2CC2)C3=Nn4c(nnc4SC3)c5ccccc5Cl
AKT1,Cosine Search,0.47,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
AKT1,Cosine Search,0,O1C2=C(C3=C(C=4C(C(=C3[C@H]1COCC=5C=CC=CC5)O)=CC=CC4)O)OC(=C2)O,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(OCC3=O)C(OC4OC5COC(C)OC5C(O)C4O)c6cc7OCOc7cc26
AKT1,Cosine Search,0.66,OC=1C=C(C=C(C(=O)NCC2=CC=CC=C2)C#N)C=CC1O,Oc1ccc(/C=C(C#N)/C(=O)c2ccc(O)c(O)c2)cc1O
AKT1,Cosine Search,0.59,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](CC(C)=CC(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O
AKT1,Cosine Search,0.23,S(C1=NN(C(N)=C1C(=O)N)C2=NC=CC=C2)C,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
AKT1,Cosine Search,0.49,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc4ncc(cc4C1=O)c5cncnc5
AKT1,Cosine Search,0.59,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](CC(C)=CC(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O
AKT1,Cosine Search,0.41,ClC=1N=CC(C2=CC=3SC(=NC3C=C2)NC(=O)C)=CC1NS(=O)(=O)C4=CC=C(OC)C=C4,Oc1c(Sc2cccc3cccnc23)cc(NS(=O)(=O)c4ccc(Cl)cc4)c5ccccc15
AKT1,Cosine Search,0.35,C1=CC(=CC=2C1=CN=CC2)C(N[C@H](C3CCN(CC3)CC4=CC=CC=C4)C=5C=CC(=C(C5)Cl)Cl)=O,CCOC(=O)N1CCC(CC1)=C1c2ccc(Cl)cc2CCc2cccnc12
AKT1,Cosine Search,0.44,C1(=CC=C2C(N=C(C=3C=CC(CN4CCC(CC4)N5C6=C(NC5=O)C=CC=C6)=CC3)C(C=7C=CC=CC7)=N2)=C1)C(=O)O,OC[C@H]1[C@@H]2Cn3c(ccc(-c4ccccc4)c3=O)[C@@H](N2)[C@@H]1C(=O)N1CCCCC1
AKT1,Cosine Search,0.23,S(C1=NN(C(N)=C1C(=O)N)C2=NC=CC=C2)C,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
AKT1,Cosine Search,0.45,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,COCC#Cc1ccc2c(O[C@@H](CN(C)S(=O)(=O)c3ccc(OC)cc3)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1
AKT1,Cosine Search,0.62,N(N(C(=O)CN1C(C=CC1=O)=O)CC=2C=CC=CC2)C(=O)OC(C)(C)C,COC(=O)N1N(C(=O)OC)[C@](C2CCCC2)(C1=O)c3ccccc3
AKT1,Cosine Search,0.29,C1C[C@@]2([C@@H]([C@]([C@@H]1O)(C)CO)CCC([C@H]2C=CC3C(OC[C@H]3O)=O)=C)C,CCCC(CCC)C(O)=O
