,Knock-out Genes,Modal Similarity,The Most Similar Inhibitors,Metric,Scores,Searched Mols
1156,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1157,CTSK,0.85,N1(C#N)CC(C1)CNC(=O)C2CCCCC2,Morgan,0.27,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1158,CTSK,0.91,O(C1(CCCCC1)C(=O)NCCNC=2C=CC(OC)=CC2)C3=CC=C(C=C3)C4=CC=CC=C4,Morgan,0.30,COc1ccc(cc1)C2(CC2)C(=O)N3CCC(CC3)n4nc(oc4=O)c5ccccc5
1159,CTSK,0.84,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.20,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
1160,CTSK,0.85,N1(C#N)CC(C1)CNC(=O)C2CCCCC2,Morgan,0.27,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1161,CTSK,0.83,C(N[C@H](C(=O)NCCNC1=CC=C(C=C1)C)CC(C)C)(=O)OCC=2C=CC=CC2,Morgan,0.26,Cc1noc(C)c1C(c2ccccc2)S(=O)(=O)c3ccc(C)cc3
1162,CTSK,0.79,N(S(C1=CC=CS1)(=O)=O)C=2C=CC(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)=CC2,Morgan,0.24,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)c4cccs4)cccc3C1=O
1163,CTSK,0.85,N1(C#N)CC(C1)CNC(=O)C2CCCCC2,Morgan,0.27,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1164,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1165,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1166,CTSK,0.84,O=C(N1CCN(CC1)C2=CC(OC)=C(OC)C=C2)[C@H]3[C@@H](CCCC3)C(=O)NCC#N,Morgan,0.17,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
1167,CTSK,0.79,N(S(C1=CC=CS1)(=O)=O)C=2C=CC(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)=CC2,Morgan,0.24,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)c4cccs4)cccc3C1=O
1168,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1169,CTSK,0.84,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.20,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
1170,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1171,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1172,CTSK,0.00,N(CC=1NN=NN1)C2=NC(=NC(=C2N)NCC(C)C)C#N,Morgan,0.10,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
1173,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1174,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1175,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
